Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Model_Prediction,Total_Income,EMI,Balance_Income,Income_to_Loan_Ratio
LP001528,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,N,6277.0,3.933333333333333,2343.666666666667,53.19491525423729
LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,Y,6486.0,6.066666666666666,419.33333333333394,35.637362637362635
LP002945,Male,Yes,0,Graduate,Yes,9963,0.0,180.0,360.0,1.0,Rural,Y,9963.0,6.0,3963.0,55.35
LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y,6760.0,5.666666666666667,1093.333333333333,39.76470588235294
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,6816.0,3.3333333333333335,3482.6666666666665,68.16
LP001656,Male,No,0,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,Y,12000.0,5.466666666666667,6533.333333333333,73.17073170731707
LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260.0,360.0,1.0,Semiurban,Y,10139.0,8.666666666666666,1472.333333333334,38.996153846153845
LP002515,Male,Yes,1,Graduate,Yes,3450,2079.0,162.0,360.0,1.0,Semiurban,Y,5529.0,5.4,129.0,34.129629629629626
LP001289,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y,8566.0,7.0,1566.0,40.79047619047619
LP002239,Male,No,0,Not Graduate,No,2346,1600.0,132.0,360.0,1.0,Semiurban,Y,3946.0,4.4,-454.0,29.893939393939394
LP002226,Male,Yes,0,Graduate,,3333,2500.0,128.0,360.0,1.0,Semiurban,Y,5833.0,4.266666666666667,1566.333333333333,45.5703125
LP002106,Male,Yes,,Graduate,Yes,5503,4490.0,70.0,,1.0,Semiurban,Y,9993.0,,,142.75714285714287
LP002190,Male,Yes,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,Y,6325.0,5.833333333333333,491.66666666666697,36.142857142857146
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,6296.0,4.0,2296.0,52.46666666666667
LP002841,Male,Yes,0,Graduate,No,3166,2064.0,104.0,360.0,0.0,Urban,N,5230.0,3.466666666666667,1763.333333333333,50.28846153846154
LP002682,Male,Yes,,Not Graduate,No,3074,1800.0,123.0,360.0,0.0,Semiurban,N,4874.0,4.1,774.0,39.6260162601626
LP002603,Female,No,0,Graduate,No,645,3683.0,113.0,480.0,1.0,Rural,Y,4328.0,2.825,1503.0,38.30088495575221
LP002287,Female,No,0,Graduate,No,1500,1800.0,103.0,360.0,0.0,Semiurban,N,3300.0,3.433333333333333,-133.33333333333303,32.03883495145631
LP002335,Female,Yes,0,Not Graduate,No,2149,3237.0,178.0,360.0,0.0,Semiurban,N,5386.0,5.933333333333334,-547.3333333333339,30.258426966292134
LP002626,Male,Yes,0,Graduate,Yes,2479,3013.0,188.0,360.0,1.0,Urban,Y,5492.0,6.266666666666667,-774.666666666667,29.21276595744681
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,11500.0,9.533333333333333,1966.666666666666,40.20979020979021
LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,Y,6506.0,1.8333333333333333,4672.666666666667,118.2909090909091
LP002893,Male,No,0,Graduate,No,1836,33837.0,90.0,360.0,1.0,Urban,Y,35673.0,3.0,32673.0,396.3666666666667
LP002129,Male,Yes,0,Graduate,No,2499,2458.0,160.0,360.0,1.0,Semiurban,Y,4957.0,5.333333333333333,-376.33333333333303,30.98125
LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban,Y,4567.0,3.8333333333333335,733.6666666666665,39.71304347826087
LP002619,Male,Yes,0,Not Graduate,No,3814,1483.0,124.0,300.0,1.0,Semiurban,Y,5297.0,4.96,337.0,42.71774193548387
LP002144,Female,No,,Graduate,No,3813,0.0,116.0,180.0,1.0,Urban,Y,3813.0,7.733333333333333,-3920.333333333333,32.87068965517241
LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,Y,43897.0,4.0,39897.0,365.80833333333334
LP002943,Male,No,,Graduate,No,2987,0.0,88.0,360.0,0.0,Semiurban,N,2987.0,2.933333333333333,53.66666666666697,33.94318181818182
LP002622,Male,Yes,2,Graduate,No,3510,4416.0,243.0,360.0,1.0,Rural,Y,7926.0,8.1,-174.0,32.617283950617285
LP001891,Male,Yes,0,Graduate,No,11146,0.0,136.0,360.0,1.0,Urban,Y,11146.0,4.533333333333333,6612.666666666667,81.95588235294117
LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,Y,7945.0,7.0,945.0,37.833333333333336
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100.0,360.0,1.0,Rural,Y,7101.0,3.3333333333333335,3767.6666666666665,71.01
LP002036,Male,Yes,0,Graduate,No,2058,2134.0,88.0,360.0,,Urban,Y,4192.0,2.933333333333333,1258.666666666667,47.63636363636363
LP002370,Male,No,0,Not Graduate,No,2717,0.0,60.0,180.0,1.0,Urban,Y,2717.0,4.0,-1283.0,45.28333333333333
LP002194,Female,No,0,Graduate,Yes,15759,0.0,55.0,360.0,1.0,Semiurban,Y,15759.0,1.8333333333333333,13925.666666666666,286.5272727272727
LP002068,Male,No,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,N,4917.0,4.333333333333333,583.666666666667,37.823076923076925
LP002741,Female,Yes,1,Graduate,No,4608,2845.0,140.0,180.0,1.0,Semiurban,Y,7453.0,9.333333333333334,-1880.333333333334,53.23571428571429
LP001883,Female,No,0,Graduate,,3418,0.0,135.0,360.0,1.0,Rural,Y,3418.0,4.5,-1082.0,25.31851851851852
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y,4618.0,3.466666666666667,1151.333333333333,44.40384615384615
LP002533,Male,Yes,2,Graduate,No,2947,1603.0,,360.0,1.0,Urban,Y,4550.0,,,
LP002587,Male,Yes,0,Not Graduate,No,2600,1700.0,107.0,360.0,1.0,Rural,Y,4300.0,3.566666666666667,733.333333333333,40.18691588785047
LP001722,Male,Yes,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,N,1950.0,4.5,-2550.0,14.444444444444445
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y,10330.0,6.0,4330.0,57.388888888888886
LP002964,Male,Yes,2,Not Graduate,No,3987,1411.0,157.0,360.0,1.0,Rural,Y,5398.0,5.233333333333333,164.66666666666697,34.382165605095544
LP002785,Male,Yes,1,Graduate,No,3333,3250.0,158.0,360.0,1.0,Urban,Y,6583.0,5.266666666666667,1316.333333333333,41.664556962025316
LP001750,Male,Yes,0,Graduate,No,6250,0.0,128.0,360.0,1.0,Semiurban,Y,6250.0,4.266666666666667,1983.333333333333,48.828125
LP002547,Male,Yes,1,Graduate,No,18333,0.0,500.0,360.0,1.0,Urban,Y,18333.0,16.666666666666668,1666.3333333333321,36.666
LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45.0,360.0,1.0,Semiurban,Y,3934.0,1.5,2434.0,87.42222222222222
LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,Y,4750.0,3.466666666666667,1283.333333333333,45.67307692307692
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N,7400.0,7.2,200.0,34.25925925925926
LP001743,Male,Yes,2,Graduate,No,4009,1717.0,116.0,360.0,1.0,Semiurban,Y,5726.0,3.8666666666666667,1859.3333333333335,49.36206896551724
LP002130,Male,Yes,,Not Graduate,No,3523,3230.0,152.0,360.0,0.0,Rural,N,6753.0,5.066666666666666,1686.333333333334,44.42763157894737
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,,Semiurban,Y,5333.0,3.3,2033.0,53.86868686868687
LP002637,Male,No,0,Not Graduate,No,3598,1287.0,100.0,360.0,1.0,Rural,Y,4885.0,3.3333333333333335,1551.6666666666665,48.85
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,N,2281.0,3.7666666666666666,-1485.6666666666665,20.1858407079646
LP002743,Female,No,0,Graduate,No,2138,0.0,99.0,360.0,0.0,Semiurban,N,2138.0,3.3,-1162.0,21.595959595959595
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y,2963.0,1.0,1963.0,98.76666666666667
LP002868,Male,Yes,2,Graduate,No,3159,461.0,108.0,84.0,1.0,Urban,Y,3620.0,15.428571428571429,-11808.57142857143,33.51851851851852
LP002560,Male,No,0,Not Graduate,No,2699,2785.0,96.0,360.0,,Semiurban,Y,5484.0,3.2,2284.0,57.125
LP002113,Female,No,3+,Not Graduate,No,1830,0.0,,360.0,0.0,Urban,N,1830.0,,,
LP001653,Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,N,4885.0,1.6,3285.0,101.77083333333333
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,Y,15500.0,10.666666666666666,4833.333333333334,48.4375
LP002738,Male,No,2,Graduate,No,3617,0.0,107.0,360.0,1.0,Semiurban,Y,3617.0,3.566666666666667,50.33333333333303,33.80373831775701
LP002024,,Yes,0,Graduate,No,2473,1843.0,159.0,360.0,1.0,Rural,Y,4316.0,5.3,-984.0,27.144654088050313
LP001644,,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,Y,5970.0,5.6,370.0,35.535714285714285
LP002948,Male,Yes,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,Y,5780.0,6.4,-620.0,30.104166666666668
LP001949,Male,Yes,3+,Graduate,,4416,1250.0,110.0,360.0,1.0,Urban,Y,5666.0,3.6666666666666665,1999.3333333333335,51.50909090909091
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y,3620.0,2.5,1120.0,144.8
LP002959,Female,Yes,1,Graduate,No,12000,0.0,496.0,360.0,1.0,Semiurban,N,12000.0,16.533333333333335,-4533.333333333336,24.193548387096776
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban,Y,4713.0,4.466666666666667,246.33333333333303,35.17164179104478
LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,N,2726.0,3.533333333333333,-807.333333333333,25.71698113207547
LP002519,Male,Yes,3+,Graduate,No,4691,0.0,100.0,360.0,1.0,Semiurban,Y,4691.0,3.3333333333333335,1357.6666666666665,46.91
LP002978,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,Y,2900.0,2.3666666666666667,533.3333333333335,40.84507042253521
LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,Y,5703.0,4.266666666666667,1436.333333333333,44.5546875
LP001658,Male,No,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,Y,3858.0,2.533333333333333,1324.666666666667,50.76315789473684
LP001716,Male,Yes,0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,Y,6194.0,4.566666666666666,1627.333333333334,45.21167883211679
LP002740,Male,Yes,3+,Graduate,No,6417,0.0,157.0,180.0,1.0,Rural,Y,6417.0,10.466666666666667,-4049.666666666666,40.87261146496815
LP001572,Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,Y,9323.0,5.0,4323.0,124.30666666666667
LP001945,Female,No,,Graduate,No,5417,0.0,143.0,480.0,0.0,Urban,N,5417.0,3.575,1842.0,37.88111888111888
LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,N,4369.0,4.033333333333333,335.66666666666697,36.107438016528924
LP001664,Male,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,Y,4191.0,4.0,191.0,34.925
LP002367,Female,No,1,Not Graduate,No,4606,0.0,81.0,360.0,1.0,Rural,Y,4606.0,2.7,1906.0,56.864197530864196
LP001896,Male,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,Y,3900.0,3.0,900.0,43.333333333333336
LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162.0,360.0,1.0,Semiurban,Y,6556.0,5.4,1156.0,40.46913580246913
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y,11757.0,12.466666666666667,-709.6666666666661,62.8716577540107
LP001977,Male,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,Y,3428.0,3.2,228.0,35.708333333333336
LP001666,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,Y,12083.0,6.233333333333333,5849.666666666667,64.61497326203208
LP002522,Female,No,0,Graduate,Yes,2500,0.0,93.0,360.0,,Urban,Y,2500.0,3.1,-600.0,26.881720430107528
LP001751,Male,Yes,0,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,Y,3250.0,5.666666666666667,-2416.666666666667,19.11764705882353
LP002408,Male,No,0,Graduate,No,3660,5064.0,187.0,360.0,1.0,Semiurban,Y,8724.0,6.233333333333333,2490.666666666667,46.6524064171123
LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,N,3784.0,2.55,1234.0,37.09803921568628
LP002990,Female,No,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,N,4583.0,4.433333333333334,149.66666666666606,34.45864661654135
LP001639,Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,Y,3625.0,3.6,25.0,33.56481481481482
LP001426,Male,Yes,,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y,8334.0,6.0,2334.0,46.3
LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,Y,6406.0,5.0,1406.0,42.70666666666666
LP001579,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,N,2237.0,1.575,662.0,35.507936507936506
LP002424,Male,Yes,0,Graduate,No,7333,8333.0,175.0,300.0,,Rural,Y,15666.0,7.0,8666.0,89.52
LP002211,Male,Yes,0,Graduate,No,4817,923.0,120.0,180.0,1.0,Urban,Y,5740.0,8.0,-2260.0,47.833333333333336
LP002734,Male,Yes,0,Graduate,No,6133,3906.0,324.0,360.0,1.0,Urban,Y,10039.0,10.8,-761.0,30.984567901234566
LP002387,Male,Yes,0,Graduate,No,2425,2340.0,143.0,360.0,1.0,Semiurban,Y,4765.0,4.766666666666667,-1.6666666666669698,33.32167832167832
LP001931,Female,No,0,Graduate,No,4124,0.0,115.0,360.0,1.0,Semiurban,Y,4124.0,3.8333333333333335,290.6666666666665,35.86086956521739
LP002300,Female,No,0,Not Graduate,No,1963,0.0,53.0,360.0,1.0,Semiurban,N,1963.0,1.7666666666666666,196.33333333333348,37.0377358490566
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y,4732.0,4.066666666666666,665.3333333333335,38.78688524590164
LP002237,Male,No,1,Graduate,,3667,0.0,113.0,180.0,1.0,Urban,Y,3667.0,7.533333333333333,-3866.333333333333,32.45132743362832
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,182.0,,1.0,Rural,Y,6873.0,,,37.76373626373626
LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,Y,16816.0,16.5,316.0,33.971717171717174
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,2.2,800.0,45.45454545454545
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,Y,5566.0,4.5,1066.0,41.22962962962963
LP002065,Male,Yes,3+,Graduate,No,15000,0.0,300.0,360.0,1.0,Rural,Y,15000.0,10.0,5000.0,50.0
LP001027,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,3.6333333333333333,706.6666666666665,39.81651376146789
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87.0,360.0,1.0,Rural,Y,2936.12000084,2.9,36.1200008400001,33.74850575678161
LP002874,Male,No,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,Y,5968.0,3.6666666666666665,2301.3333333333335,54.25454545454546
LP002341,Female,No,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,Y,2600.0,5.333333333333333,-2733.333333333333,16.25
LP001734,Female,Yes,2,Graduate,No,4283,2383.0,127.0,360.0,,Semiurban,Y,6666.0,4.233333333333333,2432.666666666667,52.488188976377955
LP002140,Male,No,0,Graduate,No,8750,4167.0,308.0,360.0,1.0,Rural,N,12917.0,10.266666666666667,2650.333333333332,41.938311688311686
LP002086,Female,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,Y,6784.0,3.6666666666666665,3117.3333333333335,61.67272727272727
LP002917,Female,No,0,Not Graduate,No,2165,0.0,70.0,360.0,1.0,Semiurban,N,2165.0,2.3333333333333335,-168.33333333333348,30.928571428571427
LP002178,Male,Yes,0,Graduate,No,3013,3033.0,95.0,300.0,,Urban,Y,6046.0,3.8,2246.0,63.642105263157895
LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158.0,360.0,0.0,Urban,N,6479.0,5.266666666666667,1212.333333333333,41.00632911392405
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,5.266666666666667,273.33333333333303,35.063291139240505
LP001935,Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,Y,9508.0,6.233333333333333,3274.666666666667,50.844919786096256
LP002205,Male,No,1,Graduate,No,3062,1987.0,111.0,180.0,0.0,Urban,N,5049.0,7.4,-2351.0,45.486486486486484
